"Status","Comment"
"Not SATD","for more rules see: https://commitlint.js.org/#/reference-rules"
"Not SATD","parserPreset: 'conventional-changelog-atom',"
"Not SATD"," rules: { 'type-enum': [2, 'always', ['foo']], },"
"Not SATD","eslint-env es6"
"Not SATD","Resolve and load @commitlint/config-conventional from node_modules.* Referenced packages must be installed"
"Not SATD","Resolve and load conventional-changelog-atom from node_modules.* Referenced packages must be installed"
"Not SATD","Resolve and load @commitlint/format from node_modules.* Referenced package must be installed"
"Not SATD","Any rules defined here will override rules from @commitlint/config-conventional"
"Not SATD","Functions that return true if commitlint should ignore the given message."
"Not SATD","Whether commitlint uses the default ignore rules."
"Not SATD","Custom URL to show upon failure"
"Not SATD","Custom prompt configs"
"Not SATD","pre-commit==2.19.0gitlint==0.17.0"
"Not SATD","!/usr/bin/env bash"
"Not SATD","/../}"") # add ../ to each element"
"Not SATD","--ignore-unknown prevents prettier from complaining about file types it doesn't know about"
"Not SATD","!/usr/bin/env bash"
"Not SATD","/../}"") # add ../ to each element"
"Not SATD","gets the list of modified files via git diff, and removes the schema/deploy prefix, and the .sql suffix to match the sqitch plan change name"
"Not SATD","finds the last tag in the sqitch plan in the base branch"
"Not SATD","reads the sqitch.plan from the end and stops at the last tag that was on the base branch"
"Not SATD"," !/usr/bin/env bash We consider any sqitch change prior to a tag to be immutable, as it may already be released to production, and should not be reverted This script checks whether those changes were modified in the current dir since the base branch and returns an error if that is the case usage: sqitch-immutable-files.sh schema_dir base_branch"
"Not SATD"," comm compares two ordered files and returns three columns ""-23"" suppresses colums 2 and 3, so it only returns the first column (the lines unique to file 1)"
"Not SATD","!/usr/bin/env bash"
"Not SATD"," Usage sqitch-last-change-is-tag.sh path/to/schema/dir tests if the last change of the sqitch plan file is a tag"
"Not SATD"," ""react/prop-types"": 0, // don't need react/prop-types when components are typed with typescript ""react/state-in-constructor"": [1, ""never""], ""@typescript-eslint/no-unused-expressions"": [1, { allowTernary: true }], ""import/prefer-default-export"": 0, ""no-plusplus"": 0, // not sure why this would be needed when we require semicolons ""jsx-a11y/anchor-is-valid"": 0, // Next.js's Link component inject the href in our <a> elements ""no-restricted-syntax"": 0, ""import/no-extraneous-dependencies"": [ ""error"", { devDependencies: [""tests/**/*"", ""cypress/**/*""] }, ],"
"Not SATD"," ""global-require"": 0, ""no-underscore-dangle"": 0, ""no-undef"": 0, // This is covered by Typescript, no need for eslint to check that"
"Not SATD"," // Rules below are code style. Prettier should deal with that instead of eslint ""spaced-comment"": 0, ""import/newline-after-import"": 0, ""import/order"": 0, ""@typescript-eslint/lines-between-class-members"": 0, we are not using flow,"
"Not SATD",""", ""cypress"
"SATD",""
"SATD",""
"Not SATD","allows functions to be called with null arguments"
"Not SATD","load values from .env"
"Not SATD","renamed from ENABLE_DB_MOCKS"
"Not SATD","In case default host is used with non-default port"
"SATD","eslint-disable-next-line import/no-extraneous-dependencies"
"Not SATD","eslint-disable-next-line import/extensions"
"Not SATD"," We've imported your old cypress plugins here. You may want to clean this up later by importing these."
"Not SATD"," / <reference types=""next"" /> / <reference types=""next/image-types/global"" />"
"Not SATD"," NOTE: This file should not be edited see https://nextjs.org/docs/basic-features/typescript for more information."
"Not SATD"," Set to false to create a sentry release on build with the sentry CLI This will upload sourcemaps to sentry."
"Not SATD"," This file configures the initialization of Sentry on the browser. The config you add here will be used whenever a page is visited. https://docs.sentry.io/platforms/javascript/guides/nextjs/"
"Not SATD"," This file configures the initialization of Sentry on the server. The config you add here will be used whenever the server handles a request. https://docs.sentry.io/platforms/javascript/guides/nextjs/"
"Not SATD","hide the submit button"
"Not SATD","This is to keep compatibility with the progressive rendering"
"Not SATD","For when redirected from project revision"
"Not SATD","Based on router queries we can determine if the user is coming from project contact form"
"Not SATD","If we don't have the projectContactFormId(means we don't have the primary contact form either) we need to create one"
"Not SATD","If we don't have the projectContactFormId(means we don't have the primary contact form either) we need to create one"
"Not SATD"," Invalidate the entire store, to make sure that we don't display any stale data after redirecting to the next page. This could be optimized to only invalidate the affected records."
"Not SATD","comparing today with TEIMP end date"
"Not SATD","@ts-ignore"
"Not SATD"," only run the effect on mount eslint-disable-next-line react-hooks/exhaustive-deps"
"Not SATD","Function to create a new contact form change and redirect to it"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the annual reports page)"
"Not SATD","If we are showing the diff then we want to see archived records, otherwise filter out the archived reports"
"Not SATD","Sorting the annual report form changes by the reporting requirement index"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","Show this part if none of Annual report form properties have been updated"
"Not SATD","Show this part if the whole Annual report has been removed"
"Not SATD","You only need to include the optional arguments when using this function to create the schema for the summary (read-only) page."
"Not SATD","This function aims to prevent race condition for the if-else statement below"
"Not SATD","Create primary contact when adding new secondary contact to the project if there is no primary contact"
"Not SATD","the failing mutation will display an error message and send the error to sentry"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD","allForms is already sorted by contactIndex"
"Not SATD","if the primary contact not yet added, we pass 2 as the contactIndex and create the primary contact in the addContact function"
"Not SATD"," Will remove the primary contact form change if it is not filled out and we have only one secondary contact form Also, using the undoFormChanges mutation won't work here because it will bring back the primary contact form change"
"Not SATD","Using short circuit doesn't work here, It renders a useless submit button"
"Not SATD","Using short circuit doesn't work here, It renders a useless submit button"
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the contacts page)"
"Not SATD","If we are showing the diff then we want to see archived records, otherwise filter out the archived contacts"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","we need to check previous value since this form and the project managers form are rendered under same CollapsibleFormWidget"
"Not SATD","setting this to true so that the text is ""Secondary Contacts not added"""
"Not SATD","passing content suffix to fields that need nominator and denominator (example: tCO2e/GJ)"
"Not SATD","setting a deep copy of the ui schema to avoid mutating the original"
"Not SATD","Example: tCO2e/GJ if we have emissionFunctionalUnit"
"Not SATD","We only show the label of this field on view mode and summary page"
"Not SATD","Mutations"
"Not SATD","Restructure form data to be in the same format as the schema"
"Not SATD","don't trigger a change if the form data is an empty object"
"Not SATD","Expand TEIMP reporting and Upon Completion data to the top level of the form data"
"Not SATD","We need to set the ui:FieldTemplate to the EmptyFieldTemplate* and ui:ObjectFieldTemplate to the EmptyObjectFieldTemplate* to avoid showing field labels and outlines on parent object.* There is room for improvement on how this is done* but for now it is the best solution."
